config_label,wavelength_nm,fpr_length_um,array_pitch_um,output_pitch_um,output_offset_um,dominant_output,dominant_fraction,second_to_first,quality,source_type,coarse_score,out_1,out_2,out_3,out_4
coarse_000,1547.6,50.0,1.05,1.45,0.45,2,0.25548571974438794,0.9767779796757494,poor,coarse_local,0.004640865345575361,0.8890140334308795,0.9128262461006903,0.8916285764612307,0.8794363029098886
coarse_000,1549.2,50.0,1.05,1.45,0.45,4,0.31275381371445626,0.8536233814983416,passing,coarse_local,0.004640865345575361,4.401558451841958,3.016990748265933,3.911972205988344,5.1563236753379735
coarse_000,1550.8,50.0,1.05,1.45,0.45,4,0.2955310859437049,0.9287236760968207,poor,coarse_local,0.004640865345575361,9.919543431964772,7.301630502245972,8.239144451860913,10.680834016910156
coarse_000,1552.4,50.0,1.05,1.45,0.45,1,0.2702388815200889,0.9389794335211293,poor,coarse_local,0.004640865345575361,10.325858419531563,9.695768689391132,9.067267843567251,9.121218860329265
coarse_001,1547.6,50.0,1.05,1.45,0.5,2,0.2555548931249095,0.9753319178500048,poor,coarse_local,0.007863964130340892,0.8897362803169258,0.9130685230646249,0.890544873729092,0.8795364136218778
coarse_001,1549.2,50.0,1.05,1.45,0.5,4,0.31345654479362806,0.8418110984911974,passing,coarse_local,0.007863964130340892,4.353145468534633,2.9980732914118517,3.9748507399293196,5.171166638616315
coarse_001,1550.8,50.0,1.05,1.45,0.5,4,0.2968129714381782,0.9164693780864916,poor,coarse_local,0.007863964130340892,9.83406483161484,7.251094032395382,8.336452945254628,10.730380159725044
coarse_001,1552.4,50.0,1.05,1.45,0.5,1,0.2708826711933,0.933074723253947,poor,coarse_local,0.007863964130340892,10.343100880308919,9.6508859914819,9.069038208895472,9.11993005167858
coarse_002,1547.6,50.0,1.05,1.45,0.55,2,0.2556003650776588,0.9751106320577064,poor,coarse_local,0.010731754016026482,0.8904956538279979,0.9132252531682978,0.8894979947703082,0.8796447476684561
coarse_002,1549.2,50.0,1.05,1.45,0.55,4,0.3140524195939793,0.8300466750622068,passing,coarse_local,0.010731754016026482,4.303390155289565,2.982970524447522,4.037564534898995,5.184515864685625
coarse_002,1550.8,50.0,1.05,1.45,0.55,4,0.2980047496680614,0.9043171359391792,poor,coarse_local,0.010731754016026482,9.746080032121617,7.206364888004153,8.435070528776288,10.777281160330793
coarse_002,1552.4,50.0,1.05,1.45,0.55,1,0.2714660846273509,0.9275050092813296,poor,coarse_local,0.010731754016026482,10.357586285809356,9.60671316415178,9.07142075100394,9.118535053526498
coarse_003,1547.6,50.0,1.05,1.45,0.6,2,0.25562166078965487,0.9759075166389567,poor,coarse_local,0.013282632042582877,0.8912908868361249,0.9132944173908476,0.8884921970126136,0.8797590673420429
coarse_003,1549.2,50.0,1.05,1.45,0.6,4,0.3145458892888917,0.8183229169391398,passing,coarse_local,0.013282632042582877,4.252381507447796,2.9717831866520634,4.099887920856069,5.196459025433909
coarse_003,1550.8,50.0,1.05,1.45,0.6,4,0.2991074625725236,0.8922643550092642,poor,coarse_local,0.013282632042582877,9.655722885993331,7.167640131390693,8.534662638303708,10.821594331080364
coarse_003,1552.4,50.0,1.05,1.45,0.6,1,0.2719856133738769,0.9222973461036602,poor,coarse_local,0.013282632042582877,10.369182680692814,9.56346966766702,9.074302263368615,9.117056993396881
coarse_004,1547.6,50.0,1.05,1.45,0.65,2,0.25561847603217086,0.9768369412277688,poor,coarse_local,0.015684085830847662,0.8921203672874276,0.9132746005348013,0.8875312416515361,0.879877348043185
coarse_004,1549.2,50.0,1.05,1.45,0.65,4,0.31494139876878563,0.8066357169387767,passing,coarse_local,0.015684085830847662,4.200220434855953,2.9645928346560337,4.16160529461053,5.20708461905952
coarse_004,1550.8,50.0,1.05,1.45,0.65,4,0.3001222857373679,0.8803101522751048,passing,coarse_local,0.015684085830847662,9.563146298674164,7.135090162527347,8.634902693448813,10.863382949701114
coarse_004,1552.4,50.0,1.05,1.45,0.65,1,0.2724380944223682,0.9174762121408077,poor,coarse_local,0.015684085830847662,10.377774237727973,9.521360998083118,9.077575270864749,9.115518334269675
coarse_005,1547.6,50.0,1.05,1.5,0.45,2,0.25600791813746576,0.9740896209340321,poor,coarse_local,0.005464519350856387,0.8004868961226501,0.8239226835021699,0.8025745344515791,0.7913643241143177
coarse_005,1549.2,50.0,1.05,1.5,0.45,4,0.31538982111840436,0.8492925911669305,passing,coarse_local,0.005464519350856387,4.447240438274582,2.9902968024371424,3.9290202715850784,5.2364055503699385
coarse_005,1550.8,50.0,1.05,1.5,0.45,4,0.2956429680086902,0.9330723724748059,poor,coarse_local,0.005464519350856387,10.591168819214346,7.755822926922649,8.695945555551381,11.350854587113306
coarse_005,1552.4,50.0,1.05,1.5,0.45,1,0.2703310849538378,0.9490791890912477,poor,coarse_local,0.005464519350856387,10.973160382087915,10.414398157200203,9.616608201865972,9.587392989987121
coarse_006,1547.6,50.0,1.05,1.5,0.5,2,0.25608151545764024,0.9725587735044449,poor,coarse_local,0.008737514007858334,0.8011551962872387,0.824155557336874,0.8015397180204223,0.7914823934356929
coarse_006,1549.2,50.0,1.05,1.5,0.5,4,0.3160603909000568,0.8377195646925707,passing,coarse_local,0.008737514007858334,4.39872119116912,2.9703649674011268,3.993454755778059,5.250827814655825
coarse_006,1550.8,50.0,1.05,1.5,0.5,4,0.2969383666573251,0.9210412806188778,poor,coarse_local,0.008737514007858334,10.50323356167609,7.700572394678989,8.796644582504781,11.403651261557597
coarse_006,1552.4,50.0,1.05,1.5,0.5,1,0.2711120540102519,0.9427118650876878,poor,coarse_local,0.008737514007858334,10.99703580288076,10.3670361321698,9.613550947438748,9.585073022079047
coarse_007,1547.6,50.0,1.05,1.5,0.55,2,0.2561303023244062,0.9727664148286066,poor,coarse_local,0.01156436372742884,0.8018591891271468,0.8243080526874766,0.8005418456895933,0.7916061419192634
coarse_007,1549.2,50.0,1.05,1.5,0.55,4,0.3166265631797903,0.8261854945274267,passing,coarse_local,0.01156436372742884,4.348848630130857,2.954181740413861,4.057731905657024,5.26376783293487
coarse_007,1550.8,50.0,1.05,1.5,0.55,4,0.29814734593048675,0.9091114992343027,poor,coarse_local,0.01156436372742884,10.412720112087005,7.651065640656855,8.89883124975955,11.453732705897018
coarse_007,1552.4,50.0,1.05,1.5,0.55,1,0.27183845796021655,0.9366324785144031,poor,coarse_local,0.01156436372742884,11.018202661857147,10.320006467949254,9.611223900274961,9.58273723211773
coarse_008,1547.6,50.0,1.05,1.5,0.6,2,0.2561537554144472,0.9735795842217486,poor,coarse_local,0.014159517194600652,0.8025978141234166,0.8243782297109179,0.7995847942488707,0.7917336912205127
coarse_008,1549.2,50.0,1.05,1.5,0.6,4,0.317092808351035,0.814682016491211,passing,coarse_local,0.014159517194600652,4.297703171868795,2.9418497928588327,4.121630711404796,5.27531366210679
coarse_008,1550.8,50.0,1.05,1.5,0.6,4,0.29927076166992517,0.8972799063523451,poor,coarse_local,0.014159517194600652,10.31975068047496,7.607505878088262,9.002176657883263,11.501149872426305
coarse_008,1552.4,50.0,1.05,1.5,0.6,1,0.27250667084394403,0.9308674201010013,poor,coarse_local,0.014159517194600652,11.036513108531619,10.27353048424971,9.609525161880509,9.580405335337161
coarse_009,1547.6,50.0,1.05,1.5,0.65,2,0.2561515175878633,0.9745319246573257,poor,coarse_local,0.016610828523088247,0.8033697085974226,0.8243646906487042,0.7986719791565873,0.7918634113358395
coarse_009,1549.2,50.0,1.05,1.5,0.65,4,0.31746358791791496,0.8032036272955548,passing,coarse_local,0.016610828523088247,4.2453762537433075,2.9334541619732564,4.184939454826551,5.285554135304143
coarse_009,1550.8,50.0,1.05,1.5,0.65,4,0.30030959662273643,0.8855448671311376,passing,coarse_local,0.016610828523088247,10.22446529084165,7.570071994957726,9.106358473822697,11.545959634959457
coarse_009,1552.4,50.0,1.05,1.5,0.65,1,0.27311334539320714,0.9254408612203779,poor,coarse_local,0.016610828523088247,11.051833432604731,10.227818249933888,9.608357104711812,9.578096655869418
coarse_010,1547.6,50.0,1.05,1.55,0.45,2,0.2565882752649618,0.9709927802529946,poor,coarse_local,0.006430423204687161,0.7165493969175655,0.7394494126332566,0.7180000410292097,0.7078530651775218
coarse_010,1549.2,50.0,1.05,1.55,0.45,4,0.31812759281816533,0.8444007298879059,passing,coarse_local,0.006430423204687161,4.477165695277266,2.9514968385541662,3.935994779546178,5.302181223684647
coarse_010,1550.8,50.0,1.05,1.55,0.45,4,0.295752834791598,0.9373350215143804,poor,coarse_local,0.006430423204687161,11.28007289766078,8.218602450111316,9.157171931698079,12.034195499743976
coarse_010,1552.4,50.0,1.05,1.55,0.45,1,0.27033997277374944,0.9594314731568857,poor,coarse_local,0.006430423204687161,11.624559411704226,11.152968161171126,10.172377010801585,10.049875628008419
coarse_011,1547.6,50.0,1.05,1.55,0.5,2,0.2566658917996777,0.9695727555009084,poor,coarse_local,0.009708167560239171,0.7171626837894807,0.7396687661865812,0.7170182786247106,0.7079853333165197
coarse_011,1549.2,50.0,1.05,1.55,0.5,4,0.3187589822668278,0.83307808096247,passing,coarse_local,0.009708167560239171,4.4286737048569655,2.930708207365862,4.001873758089742,5.3160367630131855
coarse_011,1550.8,50.0,1.05,1.55,0.5,4,0.2970583825263737,0.9255199381427909,poor,coarse_local,0.009708167560239171,11.189712832614351,8.158575513410831,9.261233962368147,12.090191006655528
coarse_011,1552.4,50.0,1.05,1.55,0.5,1,0.2712481619316066,0.9526299066771876,poor,coarse_local,0.009708167560239171,11.6553799049505,11.103263471140163,10.164238886571873,10.046551417368535
coarse_012,1547.6,50.0,1.05,1.55,0.55,2,0.2567173379352287,0.9702596623302246,poor,coarse_local,0.012475704157403018,0.7178104339161977,0.7398127138381367,0.7160735473430573,0.7081215715940296
coarse_012,1549.2,50.0,1.05,1.55,0.55,4,0.3192885659115515,0.821784750641434,passing,coarse_local,0.012475704157403018,4.378822908770648,2.9136007885994624,4.067593343516563,5.328430474467689
coarse_012,1550.8,50.0,1.05,1.55,0.55,4,0.2982807541339567,0.9138061549259658,poor,coarse_local,0.012475704157403018,11.096707023684766,8.104228749422944,9.366956304216833,12.143392735830053
coarse_012,1552.4,50.0,1.05,1.55,0.55,1,0.2721070884346411,0.946075312133268,poor,coarse_local,0.012475704157403018,11.683549174538973,11.053517432126345,10.156942792312861,10.043310763283264
coarse_013,1547.6,50.0,1.05,1.55,0.6,2,0.2567420297547143,0.9710930044261495,poor,coarse_local,0.015104746114833673,0.7184917287314573,0.7398794198461325,0.7151693416141869,0.708260438752335
coarse_013,1549.2,50.0,1.05,1.55,0.6,4,0.3197208590552564,0.8105113979609055,passing,coarse_local,0.015104746114833673,4.32768601945319,2.900278342732274,4.132937316636058,5.3394511543463
coarse_013,1550.8,50.0,1.05,1.55,0.6,4,0.29942063215641407,0.9021901819030853,poor,coarse_local,0.015104746114833673,11.001167008634566,8.055770477886655,9.4740157131476,12.193844745049917
coarse_013,1552.4,50.0,1.05,1.55,0.6,1,0.2729130542706493,0.9397934520465041,poor,coarse_local,0.015104746114833673,11.708904991611863,11.003952241751456,10.15039782549134,10.040170806586271
coarse_014,1547.6,50.0,1.05,1.55,0.65,2,0.25673954393813814,0.9720731740991436,poor,coarse_local,0.017594483915922082,0.7192053839224384,0.739867535783973,0.7143087257105633,0.7084008974477328
coarse_014,1549.2,50.0,1.05,1.55,0.65,4,0.3200603639720816,0.7992513457176325,passing,coarse_local,0.017594483915922082,4.275345944822636,2.890828389500883,4.197698088130901,5.3491882969354085
coarse_014,1550.8,50.0,1.05,1.55,0.65,4,0.3004788182607435,0.8906698299345633,passing,coarse_local,0.017594483915922082,10.903221013549429,8.013386788250154,9.582094260648066,12.24159688259619
coarse_014,1552.4,50.0,1.05,1.55,0.65,1,0.27366258530606186,0.9338081547190944,poor,coarse_local,0.017594483915922082,11.731297464254922,10.95478123755668,10.144516088282112,10.037148533805466
coarse_015,1547.6,50.0,1.05,1.6,0.45,2,0.2572320547478568,0.9674311066199592,poor,coarse_local,0.007234015899586173,0.6379862343986878,0.6601963856944593,0.6386945199988882,0.6296629683777075
coarse_015,1549.2,50.0,1.05,1.6,0.45,4,0.32096817516209536,0.8389148563333134,passing,coarse_local,0.007234015899586173,4.492004632860072,2.90169358455012,3.9342294248646503,5.354541761834446
coarse_015,1550.8,50.0,1.05,1.6,0.45,4,0.2958549050644386,0.9415499965048639,poor,coarse_local,0.007234015899586173,11.985664932608403,8.689388701045381,9.622121042108505,12.729716931761983
coarse_015,1552.4,50.0,1.05,1.6,0.45,1,0.27026350648558983,0.9700514391072959,poor,coarse_local,0.007234015899586173,12.277827336382174,11.910124076768424,10.733249253586322,10.507897386635726
coarse_016,1547.6,50.0,1.05,1.6,0.5,2,0.2573130489277876,0.9669038098292828,poor,coarse_local,0.01067469339433532,0.6385420962377172,0.6603987798439419,0.6377690451851888,0.6298088876151542
coarse_016,1549.2,50.0,1.05,1.6,0.5,4,0.321553705706026,0.8278530147365051,passing,coarse_local,0.01067469339433532,4.4436695873349095,2.880208909055391,4.0014414584508655,5.3677035756755345
coarse_016,1550.8,50.0,1.05,1.6,0.5,4,0.2971669019809074,0.9299469067916996,poor,coarse_local,0.01067469339433532,11.89290704182911,8.624525873979417,9.729520584081955,12.788802193943985
coarse_016,1552.4,50.0,1.05,1.6,0.5,1,0.27128983852893995,0.962838084452039,poor,coarse_local,0.01067469339433532,12.315898509919144,11.85821612959627,10.719798267070072,10.503653683824576
coarse_017,1547.6,50.0,1.05,1.6,0.55,2,0.2573661285349136,0.967603403874981,poor,coarse_local,0.013463051016393966,0.6391315808345867,0.6605305213634465,0.6368805976722652,0.629958669690618
coarse_017,1549.2,50.0,1.05,1.6,0.55,4,0.322040228639297,0.8168099336431374,passing,coarse_local,0.013463051016393966,4.39397489995354,2.862337269856125,4.068483090520288,5.379433720101229
coarse_017,1550.8,50.0,1.05,1.6,0.55,4,0.29839850401970514,0.9184459724191517,poor,coarse_local,0.013463051016393966,11.797440547704598,8.565279606363008,9.838747503099684,12.845002212411677
coarse_017,1552.4,50.0,1.05,1.6,0.55,1,0.2722717284765422,0.9558359693450117,poor,coarse_local,0.013463051016393966,12.35138396141143,11.805897061508125,10.70729578068001,10.49960415827205
coarse_018,1547.6,50.0,1.05,1.6,0.6,2,0.2573906240783097,0.9684584400726153,poor,coarse_local,0.016116334304782,0.6397538614327133,0.6605898972647132,0.6360322901814575,0.6301117539702683
coarse_018,1549.2,50.0,1.05,1.6,0.6,4,0.322432326052971,0.8057754681872858,passing,coarse_local,0.016116334304782,4.342986365409733,2.8481827927032444,4.135142992343312,5.389822024713585
coarse_018,1550.8,50.0,1.05,1.6,0.6,4,0.29955022886431265,0.9070434629972439,poor,coarse_local,0.016116334304782,11.699367146933788,8.511862437681128,9.949484131427253,12.898353413268948
coarse_018,1552.4,50.0,1.05,1.6,0.6,1,0.2732054405201255,0.9490702706601469,poor,coarse_local,0.016116334304782,12.38410845807765,11.75338916619237,10.695661544734225,10.495764129524952
coarse_019,1547.6,50.0,1.05,1.6,0.65,2,0.25738601949247253,0.9694694132523992,poor,coarse_local,0.01863371264496684,0.6404078716563043,0.6605756333331329,0.6352268334820943,0.630267959905712
coarse_019,1549.2,50.0,1.05,1.6,0.65,4,0.32273456099854525,0.7947419671126604,passing,coarse_local,0.01863371264496684,4.290779220668716,2.8378346175704645,4.201217902615978,5.39895890518698
coarse_019,1550.8,50.0,1.05,1.6,0.65,4,0.3006227050023702,0.8957367929547427,passing,coarse_local,0.01863371264496684,11.598804195573143,8.46446656075576,10.061417006903895,12.948897808822256
coarse_019,1552.4,50.0,1.05,1.6,0.65,1,0.27408741763214445,0.9425644607373975,poor,coarse_local,0.01863371264496684,12.413907458160717,11.700907988945213,10.684817217907293,10.492148933007996
coarse_020,1547.6,50.0,1.05,1.65,0.45,2,0.2579413803305985,0.9635858539674118,poor,coarse_local,0.006694179596612997,0.5653204316565899,0.586684029584881,0.5651774573967908,0.5573039697172224
coarse_020,1549.2,50.0,1.05,1.65,0.45,4,0.32391338365057165,0.8327930521392733,passing,coarse_local,0.006694179596612997,4.492538214717292,2.8420686337490317,3.9251272007028835,5.394543342042646
coarse_020,1550.8,50.0,1.05,1.65,0.45,4,0.2959405154151591,0.9457697215011868,poor,coarse_local,0.006694179596612997,12.70739599772168,9.16760146695554,10.090103855939443,13.436035970311758
coarse_020,1552.4,50.0,1.05,1.65,0.45,1,0.27009727642137477,0.9809613630572243,poor,coarse_local,0.006694179596612997,12.930645431414305,12.684463567609846,11.297918849262263,10.961003325731774
coarse_021,1547.6,50.0,1.05,1.65,0.5,2,0.25802453087528304,0.9641275724679901,poor,coarse_local,0.010605667161013778,0.5658143860331607,0.5868667199142323,0.5643105130723025,0.5574693321287683
coarse_021,1549.2,50.0,1.05,1.65,0.5,4,0.32444677875931943,0.8220016951712538,passing,coarse_local,0.010605667161013778,4.4444872116579415,2.8200502163297085,3.9935612319269747,5.406907598568867
coarse_021,1550.8,50.0,1.05,1.65,0.5,4,0.29725478681146206,0.9343778825578883,poor,coarse_local,0.010605667161013778,12.612258280103958,9.097846450243981,10.200816735931232,13.498027420744926
coarse_021,1552.4,50.0,1.05,1.65,0.5,1,0.2712334313747935,0.9733533609361442,poor,coarse_local,0.010605667161013778,12.976269415916983,12.630495448395692,11.278944809684122,10.95599387318218
