port_type,port_id,x_um,y_um
input,in_1,0.0,0.0
array_in,ain_01,70.0,-11.25
array_out,aout_01,110.0,-11.25
array_in,ain_02,70.0,-9.75
array_out,aout_02,110.0,-9.75
array_in,ain_03,70.0,-8.25
array_out,aout_03,110.0,-8.25
array_in,ain_04,70.0,-6.75
array_out,aout_04,110.0,-6.75
array_in,ain_05,70.0,-5.25
array_out,aout_05,110.0,-5.25
array_in,ain_06,70.0,-3.75
array_out,aout_06,110.0,-3.75
array_in,ain_07,70.0,-2.25
array_out,aout_07,110.0,-2.25
array_in,ain_08,70.0,-0.75
array_out,aout_08,110.0,-0.75
array_in,ain_09,70.0,0.75
array_out,aout_09,110.0,0.75
array_in,ain_10,70.0,2.25
array_out,aout_10,110.0,2.25
array_in,ain_11,70.0,3.75
array_out,aout_11,110.0,3.75
array_in,ain_12,70.0,5.25
array_out,aout_12,110.0,5.25
array_in,ain_13,70.0,6.75
array_out,aout_13,110.0,6.75
array_in,ain_14,70.0,8.25
array_out,aout_14,110.0,8.25
array_in,ain_15,70.0,9.75
array_out,aout_15,110.0,9.75
array_in,ain_16,70.0,11.25
array_out,aout_16,110.0,11.25
output,out_1,180.0,-3.0
output,out_2,180.0,-1.0
output,out_3,180.0,1.0
output,out_4,180.0,3.0
