arm_index,y_um,relative_length_um,total_length_um,delta_length_step_um
0,-11.25,0.0,1500.0,30.990668646375973
1,-9.75,30.990668646375973,1530.990668646376,30.990668646375973
2,-8.25,61.981337292751945,1561.981337292752,30.990668646375973
3,-6.75,92.97200593912791,1592.972005939128,30.990668646375973
4,-5.25,123.96267458550389,1623.962674585504,30.990668646375973
5,-3.75,154.95334323187987,1654.95334323188,30.990668646375973
6,-2.25,185.94401187825582,1685.9440118782559,30.990668646375973
7,-0.75,216.9346805246318,1716.9346805246319,30.990668646375973
8,0.75,247.92534917100778,1747.9253491710078,30.990668646375973
9,2.25,278.91601781738376,1778.9160178173838,30.990668646375973
10,3.75,309.90668646375974,1809.9066864637598,30.990668646375973
11,5.25,340.8973551101357,1840.8973551101358,30.990668646375973
12,6.75,371.88802375651164,1871.8880237565118,30.990668646375973
13,8.25,402.8786924028876,1902.8786924028877,30.990668646375973
14,9.75,433.8693610492636,1933.8693610492637,30.990668646375973
15,11.25,464.8600296956396,1964.8600296956397,30.990668646375973
